sl__no_,crop,production__lakh_tons____2023_24,productivity__yield_in_kg_ha____2023_24,source_dataset,resource_id,source_url
1,Rice,1378.25,2882,Unknown,,
2,Wheat,1132.92,3559,Unknown,,
3,Maize,376.65,3351,Unknown,,
4,Barley,16.99,3082,Unknown,,
5,Jowar,47.37,1162,Unknown,,
6,Bajra,107.16,1453,Unknown,,
7,Ragi,16.7,1375,Unknown,,
8,Small Millets,4.49,935,Unknown,,
Total Cereals,Total Cereals,3080.52,2945,Unknown,,
9,Tur,34.17,827,Unknown,,
10,Gram,110.39,1151,Unknown,,
11,Urad,23.19,656,Unknown,,
12,Moong,31.03,598,Unknown,,
13,Lentil,17.91,1028,Unknown,,
14,Other Pulses,25.77,776,Unknown,,
Total Pulses,Total Pulses,242.46,881,Unknown,,
Total Food Grains,Total Food Grains,3322.98,2515,Unknown,,
