_si__no_,state,groundnut___kharif,groundnut___rabi,groundnut___total,castorseed___kharif,sesamum___kharif,nigerseed___kharif,soyabean___kharif,sunflower___kharif,sunflower___rabi,sunflower___total,r___m___rabi,linseed___rabi,safflower___rabi,total_oilseeds___kharif,total_oilseeds___rabi,total_oilseeds___total,sugarcane,cotton,jute,mesta,jute___mesta,source_dataset,resource_id,source_url
1,Andhra Pradesh,540.1,238.08,778.18,6.51,9.0,1.54,3.09,1.17,7.31,8.48,0.48,0,0.61,561.41,246.48,807.89,4118.62,1604,0,10.44,10.44,Unknown,,
2,Assam,0,0,0,0.46,8.35,3.9,0,0,0,NA,182.3,3.07,0,12.71,185.37,198.08,1133.28,1,778.19,18.1,796.29,Unknown,,
3,Bihar,0.79,0,0.79,0.08,0.56,0,12.6,1.44,9.41,10.85,85.81,5.38,0.07,15.47,100.67,116.15,10713.82,NA,780.43,194.73,975.16,Unknown,,
4,Chhattisgarh,31.37,0,31.37,0,6.08,9.56,50.56,0.11,0,0.11,18.73,4.92,0.03,97.67,23.68,121.35,0,8.4,0,1.31,1.31,Unknown,,
5,Gujarat,3986.47,140.83,4127.3,1346.91,78.8,0.99,203.02,0,0.35,0.35,420.45,0,0,5616.19,561.64,6177.83,15851.55,7270.28,0,0,NA,Unknown,,
6,Haryana,9.44,0,9.44,0.67,0.78,0,0,0,22.77,22.77,1278.02,0,0,10.89,1300.79,1311.68,8531.72,1823.4,0,0,NA,Unknown,,
7,Himachal Pradesh,0.07,0,0.07,0,0.23,0,0.86,0,0,NA,5.53,0.41,0,1.15,5.95,7.1,30.26,NA,0,0,NA,Unknown,,
8,Jharkhand,28.43,0,28.43,0.01,2.19,1.91,0.74,0.07,0.09,0.16,354.49,28.24,0.44,33.36,383.27,416.63,0,NA,0,0,0,Unknown,,
9,Karnataka,469.06,207,676.06,2.84,20.28,0.23,375.72,63.86,43,106.86,0.23,0.5,19.84,931.99,270.56,1202.55,42085,2320,0,0,0,Unknown,,
10,Kerala,0.07,0.07,0.14,0,0.22,0,0,0,0,0,0,0,0,0.29,0.07,0.36,107.15,0.03,0,0,NA,Unknown,,
11,Madhya Pradesh,567.98,7.85,575.83,2.85,137.66,2.1,4614.29,0,0,0,1312.16,32.67,0,5324.87,1352.68,6677.55,5879.5,1783.29,0,0,0,Unknown,,
12,Maharashtra,243.47,195.95,439.43,4.32,3.87,1.47,6199.3,9.07,3.21,12.28,8.97,2.29,14.52,6461.51,224.94,6686.45,101594.92,9587.6,0,0,0,Unknown,,
13,Odisha,14.64,44.33,58.97,4.13,4.93,16.78,0,0.2,21.88,22.08,2.07,4.14,0.1,40.69,72.51,113.2,351.11,499,10.15,18.72,28.88,Unknown,,
14,Punjab,2.97,0,2.97,0,0.92,0,0,0,4.49,4.49,50.91,0,0,3.89,55.4,59.29,7485.13,1023,0,0,NA,Unknown,,
15,Rajasthan,1925.01,5.57,1930.58,276.22,126.02,0,1094.68,0,0.28,0.28,4506.88,6.16,0,3421.93,4518.88,7940.81,393.74,3206.92,0,0,0,Unknown,,
16,Tamilnadu,585.75,358.94,944.69,2.09,34.2,0,0,0.48,4.56,5.04,0.09,0,0,622.52,363.59,986.12,12800.16,250.02,0,0,0,Unknown,,
17,Telangana,23.69,268.95,292.64,3.56,13.99,0,243.49,0,19,19,3.07,0,2.67,284.72,293.69,578.41,1358,5994.64,0,0,0,Unknown,,
18,Uttar Pradesh,110.02,0,110.02,0,98.27,0,39.85,0,5.53,5.53,989.81,17.89,0,248.14,1013.23,1261.36,177670,NA,0,0,NA,Unknown,,
19,Uttarakhand,1.85,0,1.85,0,0.53,0,9.75,0,0,0,13.71,0,0,12.13,13.71,25.85,6963.6,NA,0,0,NA,Unknown,,
20,West Bengal,7.19,183.5,190.69,0.03,247.5,0.62,0.21,0,9,9,720.2,1.84,0.01,255.54,914.56,1170.1,1560.65,1.32,7451.86,162.1,7613.96,Unknown,,
21,Others,8,2.42,10.42,0.37,16.66,0.2,49.03,0.66,1.66,2.32,158.5,4.33,0.25,74.91,167.16,242.07,625,11.26,100.74,29.41,130.15,Unknown,,
All-India,All-India,8556.37,1653.49,10209.87,1651.04,811.06,39.3,12897.18,77.06,152.54,229.6,10112.42,111.85,38.54,24032.0,12068.84,36100.84,399253.21,35384.16,9121.39,434.81,9556.2,Unknown,,
